Acc	Protein.name	Module	first.AA	last.AA	PDB.code	PDB.chain			Protein.name	Acc	Chain	Description	UniProt
dd3	G1SHG0	60S Ribosome	0	125	6hcj.cif	d3		TRUE	G1SHG0	dd3	d3	eL31	G1SHG0_RABIT 1-125
E2	G1TNM3	40S Ribosome	0	243	6hcj.cif	E2		TRUE	G1TNM3	E2	E2	uS3	G1TNM3_RABIT 1-243
E3	G1SKF7	60S Ribosome	0	291	6hcj.cif	E3		TRUE	G1SKF7	E3	E3	60S ribosomal protein L6	G1SKF7_RABIT 1-291
ee2	G1U7M4	40S Ribosome	0	56	6hcj.cif	e2		TRUE	G1U7M4	ee2	e2	uS14	G1U7M4_RABIT 1-56
ee3	G1TUN8	60S Ribosome	0	135	6hcj.cif	e3		TRUE	G1TUN8	ee3	e3	eL32	G1U437_RABIT 1-135
F2	G1TK17	40S Ribosome	0	263	6hcj.cif	F2		TRUE	G1TK17	F2	F2	eS4	
F3	G1TUB1	60S Ribosome	0	247	6hcj.cif	F3		FALSE	G1SV32	F3	F3	uL30	G1TUB1_RABIT 1-247
ff2	G1T8A2	40S Ribosome	0	133	6hcj.cif	f2		TRUE	G1T8A2	ff2	f2	40S ribosomal protein S30	G1T8A2_RABIT 0-132
ff3	G1TUB1 	60S Ribosome	0	110	6hcj.cif	f3		FALSE	G1SF08	ff3	f3	eL33	G1SF08_RABIT 1-110
G2	G1SK22	40S Ribosome	0	204	6hcj.cif	G2		FALSE	G1TFM5	G2	G2	Ribosomal protein S5	G1TFM5_RABIT 1-204
G3	G1STW0	60S Ribosome	0	319	6hcj.cif	G3		TRUE	G1STW0	G3	G3	eL8	
gg2	G1SK22	40S Ribosome	0	156	6hcj.cif	g2		TRUE	G1SK22	gg2	g2	Ribosomal protein S27a	G1SK22_RABIT 1-156
gg3	G1TXG5	60S Ribosome	0	117	6hcj.cif	g3		FALSE		gg3	g3	eL34	
H2	G1TM55	40S Ribosome	0	249	6hcj.cif	H2		TRUE	G1TM55	H2	H2	40S ribosomal protein S6	G1TM55_RABIT 1-249
H3	G1SWI6	60S Ribosome	0	192	6hcj.cif	H3		TRUE	G1SWI6	H3	H3	uL6	G1TX33_RABIT 1-192
hh2	G1SJB4	40S Ribosome	0	317	6hcj.cif	h2		TRUE	G1SJB4	hh2	h2	RACK1	G1SJB4_RABIT 1-317
hh3	G1SIT5	60S Ribosome	0	123	6hcj.cif	h3		TRUE	G1SIT5	hh3	h3	uL29	G1SIT5_RABIT 1-123
I2	G1SVB0	40S Ribosome	0	194	6hcj.cif	I2		TRUE	G1SVB0	I2	I2	40S ribosomal protein S7	G1SVB0_RABIT 1-194
I3	B7NZQ2	60S Ribosome	0	214	6hcj.cif	I3		TRUE	B7NZQ2	I3	I3	60S ribosomal protein L10	B7NZQ2_RABIT 1-214
ii3	B7NZQ2	60S Ribosome	0	105	6hcj.cif	i3		FALSE	G1TTQ5	ii3	i3	60S ribosomal protein L36	G1TTQ5_RABIT 1-105
J2	G1TJW1	40S Ribosome	0	208	6hcj.cif	J2		TRUE	G1TJW1	J2	J2	eS8	
J3	G1TUB8	60S Ribosome	0	178	6hcj.cif	J3		TRUE	G1TUB8	J3	J3	Ribosomal protein L11	G1TUB8_RABIT 1-178
jj3	U3KPD5	60S Ribosome	0	97	6hcj.cif	j3		TRUE	U3KPD5	jj3	j3	Ribosomal protein L37	U3KPD5_RABIT 1-97
K2	B7NZS8	40S Ribosome	0	194	6hcj.cif	K2		TRUE	B7NZS8	K2	K2	Ribosomal protein S9 (Predicted)	B7NZS8_RABIT 1-194
kk3	G1U001	60S Ribosome	0	70	6hcj.cif	k3		FALSE		kk3	k3	eL38	
L2	G1TPV3	40S Ribosome	0	165	6hcj.cif	L2		FALSE	G1T168	L2	L2	eS10	G1TPV3_RABIT 1-165
L3	G1TL06	60S Ribosome	0	211	6hcj.cif	L3		FALSE	G1TKB3	L3	L3	eL13	
ll3	G1TTN1	60S Ribosome	0	51	6hcj.cif	l3		FALSE	G1SYU7	ll3	l3	eL39	G1TTN1_RABIT 1-51
M2	G1TRM4	40S Ribosome	0	158	6hcj.cif	M2		TRUE	G1TRM4	M2	M2	Ribosomal protein S11	G1TRM4_RABIT 1-158
M3	G1SZ12	60S Ribosome	0	218	6hcj.cif	M3		TRUE	G1SZ12	M3	M3	Ribosomal protein L14	G1SZ12_RABIT 1-218
mm3	P0DXC2	60S Ribosome	0	102	6hcj.cif	m3		FALSE		mm3	m3	eL40	
N2	G1SFR8	40S Ribosome	0	132	6hcj.cif	N2		TRUE	G1SFR8	N2	N2	40S ribosomal protein S12	G1SFR8_RABIT 1-132
N3	G1T0C1	60S Ribosome	0	204	6hcj.cif	N3		TRUE	G1T0C1	N3	N3	Ribosomal protein L15	G1T0C1_RABIT 1-204
nn3	A0A087WNH4	60S Ribosome	0	25	6hcj.cif	n3		FALSE		nn3	n3	eL41	
O2	G1SP51	40S Ribosome	0	151	6hcj.cif	O2		TRUE	G1SP51	O2	O2	uS15	G1SP51_RABIT 1-151
O3	G1TVS8	60S Ribosome	0	203	6hcj.cif	O3		FALSE		O3	O3	uL13	
oo3	G1T040	60S Ribosome	0	106	6hcj.cif	o3		FALSE		oo3	o3	eL42	
P2	G1T1F0	40S Ribosome	0	168	6hcj.cif	P2		TRUE	G1T1F0	P2	P2	uS11	
P3	G1SCJ6	60S Ribosome	0	184	6hcj.cif	P3		FALSE	G1TVT6	P3	P3	uL22	G1TVT6_RABIT 1-184
pp3	G1SCJ6	60S Ribosome	0	92	6hcj.cif	p3		FALSE	G1SY53	pp3	p3	eL43	G1SY53_RABIT 1-92
Q2	G1U0Q2	40S Ribosome	0	145	6hcj.cif	Q2		TRUE	G1U0Q2	Q2	Q2	uS19	G1U0Q2_RABIT 1-145
Q3	G1TFE0	60S Ribosome	0	188	6hcj.cif	Q3		FALSE		Q3	Q3	eL18	
R2	G1SGX4	40S Ribosome	0	146	6hcj.cif	R2		TRUE	G1SGX4	R2	R2	Ribosomal protein S16	G1SGX4_RABIT 1-146
R3	G1U7L1	60S Ribosome	0	196	6hcj.cif	R3		FALSE	G1TYL6	R3	R3	eL19	
rr3	G1U7L1	60S Ribosome	0	137	6hcj.cif	r3		TRUE	G1U7L1	rr3	r3	eL28	G1U7L1_RABIT 1-137
S2	G1TU13	40S Ribosome	0	135	6hcj.cif	S2		TRUE	G1TU13	S2	S2	eS17	G1TU13_RABIT 1-135
S3	G1TTY7	60S Ribosome	0	176	6hcj.cif	S3		TRUE	G1TTY7	S3	S3	eL20	
T2	G1TPG3	40S Ribosome	0	152	6hcj.cif	T2		TRUE	G1TPG3	T2	T2	uS13	G1TPG3_RABIT 1-152
T3	G1SHQ2	60S Ribosome	0	160	6hcj.cif	T3		TRUE	G1SHQ2	T3	T3	eL21	G1SHQ2_RABIT 1-160
tt3	G1SHQ2	60S Ribosome	0	318	6hcj.cif	t3		FALSE	G1SPK4	tt3	t3	uL10	
U2	G1TN62	40S Ribosome	0	145	6hcj.cif	U2		FALSE		U2	U2	eS19	
U3	G1TSG1	60S Ribosome	0	128	6hcj.cif	U3		FALSE		U3	U3	eL22	
uu3	G1SMR7	60S Ribosome	0	165	6hcj.cif	u3		TRUE	G1SMR7	uu3	u3	Ribosomal protein L12	G1SMR7_RABIT 1-165
V2	G1SIZ2	40S Ribosome	0	119	6hcj.cif	V2		TRUE	G1SIZ2	V2	V2	uS10	G1SIZ2_RABIT 1-119
V3	G1T6D1	60S Ribosome	0	140	6hcj.cif	V3		TRUE	G1T6D1	V3	V3	Ribosomal protein L23	G1T6D1_RABIT 1-140
W2	G1TM82	40S Ribosome	0	83	6hcj.cif	W2		TRUE	G1TM82	W2	W2	eS21	
ww3	G1SKZ8	60S Ribosome	0	217	6hcj.cif	w3		TRUE	G1SKZ8	ww3	w3	uL1	G1SKZ8_RABIT 1-217
X2	G1TG89	40S Ribosome	0	130	6hcj.cif	X2		TRUE	G1TG89	X2	X2	Ribosomal protein S15a	G1TG89_RABIT 1-130
X3	G1SE76	60S Ribosome	0	156	6hcj.cif	X3		TRUE	G1SE76	X3	X3	uL23	G1SE76_RABIT 1-156
Y2	G1SZ47	40S Ribosome	0	143	6hcj.cif	Y2		TRUE	G1SZ47	Y2	Y2	uS12	
Y3	G1SQH0	60S Ribosome	0	145	6hcj.cif	Y3		TRUE	G1SQH0	Y3	Y3	Ribosomal protein L26	G1SQH0_RABIT 1-145
Z2	A0A5F9D2E6	40S Ribosome	0	130	6hcj.cif	Z2		TRUE	A0A5F9D2E6	Z2	Z2	eS24	
Z3	G1TXF6	60S Ribosome	0	136	6hcj.cif	Z3		TRUE	G1TXF6	Z3	Z3	60S ribosomal protein L27	G1TXF6_RABIT 1-136
